transaction_id,user_id,transaction_date,amount,category,payment_method,status
1,6,2025-06-10,2427.07,recharge,UPI,success
2,6,2025-02-24,630.01,investment,UPI,success
3,6,2025-04-01,1208.88,shopping,UPI,success
4,11,2025-05-26,662.26,bill_pay,Card,failed
5,11,2025-06-27,493.48,shopping,UPI,success
6,13,2025-06-15,1064.09,bill_pay,UPI,success
7,13,2025-06-25,1957.76,shopping,UPI,success
8,13,2025-06-15,439.86,bill_pay,Card,failed
9,13,2025-04-28,1241.81,bill_pay,Card,success
10,13,2025-06-01,556.17,bill_pay,UPI,success
11,13,2025-07-02,1345.22,recharge,UPI,success
12,13,2025-05-01,180.2,shopping,UPI,success
13,13,2025-06-07,256.01,shopping,UPI,success
14,13,2025-05-06,527.88,recharge,UPI,success
15,14,2025-04-04,2626.93,shopping,Card,success
16,14,2024-03-25,672.39,recharge,UPI,success
17,14,2025-06-20,114.39,shopping,UPI,success
18,14,2025-06-28,609.05,bill_pay,Card,success
19,14,2024-08-17,906.85,bill_pay,Card,failed
20,14,2024-07-18,894.34,recharge,UPI,success
21,14,2025-02-01,1076.8,recharge,UPI,success
22,14,2024-04-21,2020.97,shopping,UPI,success
23,15,2024-07-23,1539.66,recharge,UPI,success
24,15,2024-09-05,844.14,recharge,UPI,success
25,15,2025-04-05,1561.95,investment,Card,success
26,17,2025-02-23,210.31,investment,UPI,failed
27,17,2024-03-05,323.5,recharge,Card,success
28,19,2025-01-01,1417.28,shopping,UPI,success
29,19,2024-07-08,998.5,recharge,UPI,success
30,19,2025-07-06,1470.93,investment,UPI,success
31,19,2024-12-08,6719.79,recharge,UPI,success
32,19,2024-07-14,1262.71,recharge,Card,success
33,19,2025-07-05,597.62,recharge,UPI,success
34,19,2025-01-21,997.11,recharge,UPI,success
35,19,2024-09-15,831.15,recharge,UPI,success
36,19,2025-03-29,413.19,bill_pay,UPI,success
37,19,2025-01-14,4141.88,investment,UPI,failed
38,19,2025-06-24,333.85,bill_pay,Card,success
39,19,2025-05-13,588.22,recharge,Wallet,success
40,19,2025-06-10,2304.69,investment,UPI,success
41,19,2024-07-08,1142.83,bill_pay,UPI,success
42,19,2024-08-15,945.46,bill_pay,UPI,success
43,19,2025-03-05,1586.01,bill_pay,UPI,success
44,19,2024-08-10,341.24,shopping,Card,failed
45,20,2025-06-15,1840.06,recharge,UPI,failed
