user_id,signup_date,device_type,acquisition_channel,region,kyc_completed,referral_source
1,2024-09-01,iOS,Social,East,0,
2,2024-06-03,Android,Paid,North,1,
3,2025-02-18,Web,Organic,North,0,
4,2024-11-05,Android,Social,South,0,
5,2024-10-31,Android,Social,South,1,
6,2024-12-04,iOS,Social,East,0,
7,2024-10-04,iOS,Organic,West,1,
8,2025-01-01,iOS,Social,North,1,
9,2024-04-21,Android,Social,West,1,
10,2024-09-02,Android,Organic,East,0,
11,2025-05-25,iOS,Organic,North,1,
12,2024-09-03,Android,Organic,East,0,
13,2025-04-19,Android,Social,South,1,
14,2024-02-27,Android,Paid,East,0,
15,2024-06-10,Android,Organic,South,0,
16,2024-08-02,iOS,Organic,West,1,
17,2024-02-22,Android,Organic,North,0,
18,2025-04-03,Web,Referral,North,1,PromoCode
19,2024-02-08,Android,Paid,West,0,
20,2025-05-09,iOS,Social,South,1,
21,2025-01-24,Android,Referral,North,1,PromoCode
22,2025-02-06,Android,Referral,East,1,Influencer
23,2025-01-01,Android,Organic,South,1,
24,2024-04-23,Android,Organic,North,1,
25,2025-03-29,Android,Paid,East,1,
26,2024-12-17,Web,Organic,East,0,
27,2025-05-15,iOS,Organic,North,1,
28,2025-01-04,Android,Social,West,0,
29,2025-05-11,Android,Paid,West,0,
30,2025-03-30,Android,Organic,North,0,
31,2024-05-03,Android,Organic,East,1,
32,2025-04-04,iOS,Organic,West,1,
33,2025-06-25,Web,Social,West,0,
34,2024-09-05,Android,Organic,West,1,
35,2024-12-13,Android,Organic,South,1,
36,2024-05-26,Android,Referral,West,1,PromoCode
37,2024-07-14,iOS,Organic,North,1,
38,2025-03-23,Android,Organic,North,0,
39,2025-01-05,iOS,Organic,South,0,
40,2024-01-29,iOS,Organic,South,0,
41,2025-02-23,Android,Organic,North,1,
42,2024-05-06,iOS,Organic,South,1,
43,2024-08-21,Android,Social,West,0,
44,2024-02-09,iOS,Organic,East,0,
45,2025-06-01,Android,Referral,East,1,Friend
46,2025-01-19,Android,Referral,East,1,Friend
47,2024-01-17,Web,Paid,North,1,
48,2024-07-13,iOS,Organic,South,1,
49,2024-11-26,iOS,Organic,East,1,
50,2024-05-11,Android,Referral,West,1,Friend
51,2024-01-31,iOS,Referral,West,1,Influencer
52,2025-06-20,Android,Referral,West,0,PromoCode
53,2024-09-09,iOS,Organic,South,1,
54,2024-06-05,Android,Social,East,1,
55,2024-03-15,Web,Organic,West,0,
56,2024-06-01,Web,Organic,South,0,
57,2024-01-22,iOS,Paid,West,1,
58,2025-03-12,Android,Organic,East,1,
59,2025-05-30,Android,Paid,East,1,
60,2024-11-07,iOS,Referral,East,0,PromoCode
61,2024-09-23,Android,Social,East,1,
62,2024-06-12,iOS,Social,East,0,
63,2024-08-08,Android,Paid,West,1,
64,2024-08-27,Android,Referral,East,1,PromoCode
65,2024-09-15,Web,Organic,West,1,
66,2024-01-04,iOS,Paid,East,1,
67,2024-02-11,Android,Organic,West,1,
68,2025-04-17,Android,Organic,East,1,
69,2024-04-09,Android,Organic,West,1,
70,2024-08-12,iOS,Paid,East,0,
71,2024-07-27,Android,Paid,South,1,
72,2024-08-25,Web,Social,West,1,
73,2024-07-25,iOS,Organic,South,1,
74,2025-02-27,Android,Social,West,0,
75,2025-05-30,iOS,Referral,West,1,Friend
76,2025-01-29,Android,Paid,West,0,
77,2025-02-25,Android,Referral,North,0,PromoCode
78,2024-09-15,Web,Organic,East,1,
79,2025-02-04,Android,Social,South,1,
80,2024-02-08,Android,Paid,South,0,
81,2024-10-11,Android,Social,West,1,
82,2025-02-23,Android,Referral,South,0,Influencer
83,2024-01-31,Android,Social,South,1,
84,2025-03-04,iOS,Referral,South,1,PromoCode
85,2025-05-30,iOS,Organic,South,1,
86,2024-01-15,iOS,Organic,North,1,
87,2024-09-21,Android,Paid,West,0,
88,2025-03-24,Android,Paid,South,0,
89,2024-01-01,Android,Organic,North,1,
90,2024-05-04,Android,Social,North,0,
91,2024-03-16,Android,Paid,West,1,
92,2024-11-25,Android,Social,East,1,
93,2024-07-30,Android,Social,East,0,
94,2024-10-01,Android,Paid,East,1,
95,2024-05-27,Web,Social,South,0,
96,2024-07-04,Web,Paid,West,0,
97,2025-02-12,iOS,Social,East,1,
98,2025-05-24,Web,Organic,South,1,
99,2025-03-19,iOS,Organic,West,1,
100,2024-10-07,Android,Paid,South,0,
101,2024-08-08,Android,Paid,East,1,
102,2025-06-03,iOS,Paid,East,0,
103,2024-11-18,iOS,Paid,North,0,
104,2025-03-08,iOS,Organic,North,1,
105,2024-07-04,iOS,Social,West,1,
106,2024-11-08,Android,Paid,South,0,
107,2024-05-17,iOS,Paid,South,1,
108,2024-03-23,Web,Referral,East,1,Influencer
109,2024-02-22,Android,Referral,East,0,PromoCode
110,2025-04-25,iOS,Social,West,0,
111,2025-06-23,Android,Paid,North,1,
112,2025-03-28,iOS,Organic,East,1,
113,2024-06-21,iOS,Paid,South,0,
114,2025-01-29,Android,Paid,East,0,
115,2025-05-23,iOS,Social,North,0,
116,2024-05-27,Android,Organic,South,1,
117,2025-05-18,iOS,Social,North,1,
118,2024-09-13,Android,Paid,West,1,
119,2025-06-20,iOS,Social,West,1,
120,2024-05-28,Android,Organic,North,0,
121,2024-03-21,iOS,Social,South,0,
122,2024-09-22,Android,Social,North,0,
123,2024-10-28,iOS,Social,East,1,
124,2025-04-13,Web,Organic,East,1,
125,2025-04-01,Web,Organic,North,0,
126,2024-12-19,iOS,Referral,East,1,PromoCode
127,2025-01-09,iOS,Organic,North,1,
128,2024-10-08,Android,Organic,East,1,
129,2024-03-16,Android,Organic,North,0,
130,2025-05-01,Android,Paid,East,0,
131,2024-04-01,iOS,Paid,South,0,
132,2024-01-09,Web,Organic,South,1,
133,2024-09-12,Android,Organic,East,1,
134,2024-11-25,Web,Paid,North,1,
135,2024-04-02,iOS,Paid,East,1,
136,2024-02-08,iOS,Organic,West,1,
137,2025-03-02,Android,Organic,West,0,
138,2025-02-02,Android,Social,North,0,
139,2024-03-06,Android,Social,East,1,
140,2025-06-14,iOS,Social,East,0,
141,2024-07-24,Android,Social,South,1,
142,2025-03-03,Android,Organic,North,1,
143,2024-10-02,iOS,Referral,West,1,PromoCode
144,2025-05-14,iOS,Paid,West,0,
145,2024-09-23,Web,Referral,North,0,Influencer
146,2024-09-11,Android,Organic,West,0,
147,2025-02-26,Android,Referral,North,1,PromoCode
148,2024-12-28,iOS,Paid,West,0,
149,2024-09-04,Android,Organic,West,0,
150,2024-09-28,Android,Referral,North,0,Influencer
151,2025-01-23,Android,Organic,North,1,
152,2025-02-21,Android,Organic,West,1,
153,2024-06-18,Android,Organic,West,1,
154,2024-12-03,Android,Organic,South,1,
155,2025-05-25,Android,Organic,East,1,
156,2024-04-06,Android,Social,North,0,
157,2025-02-15,iOS,Paid,North,0,
158,2025-02-06,Android,Paid,East,1,
159,2025-06-09,iOS,Organic,South,1,
160,2024-09-28,Android,Referral,West,0,PromoCode
161,2024-09-30,Android,Referral,West,0,PromoCode
162,2024-01-29,iOS,Referral,South,1,Friend
163,2024-02-03,Android,Referral,South,0,PromoCode
164,2024-11-19,Android,Social,East,1,
165,2025-04-01,Android,Social,East,0,
166,2024-12-17,Web,Referral,West,0,PromoCode
167,2024-09-17,Android,Organic,South,0,
168,2024-01-26,Android,Referral,South,1,Influencer
169,2024-10-01,iOS,Paid,West,1,
170,2025-03-14,Android,Referral,West,0,Friend
171,2024-03-08,Android,Social,West,1,
