transaction_id,user_id,amount,category,payment_method,status,is_successful
4666,1142,207.4799957,recharge,Card,success,1
4667,1142,3190.070068,bill_pay,UPI,success,1
14722,3574,295.8999939,investment,UPI,success,1
14723,3574,3540.120117,bill_pay,UPI,success,1
14724,3574,400.9500122,shopping,Wallet,failed,0
14725,3574,1905.849976,bill_pay,UPI,success,1
14726,3574,1097.589966,recharge,UPI,success,1
14727,3574,5064.549805,recharge,Card,success,1
14728,3574,1957.48999,bill_pay,Wallet,success,1
14729,3574,666.4899902,recharge,UPI,success,1
14730,3574,1048.959961,bill_pay,UPI,success,1
14731,3574,266.7000122,investment,Card,success,1
14732,3574,1264.73999,recharge,UPI,success,1
14733,3574,791.6500244,recharge,UPI,success,1
14734,3574,401.1400146,investment,UPI,success,1
4950,1222,878.6799927,recharge,UPI,success,1
4951,1222,2934.959961,bill_pay,Card,success,1
4952,1222,2052.679932,shopping,NetBanking,success,1
4953,1222,1258.439941,bill_pay,UPI,success,1
4954,1222,190.0700073,shopping,Wallet,success,1
4955,1222,1511.97998,recharge,NetBanking,success,1
4956,1222,128.8600006,recharge,Card,success,1
4957,1222,1530.939941,recharge,UPI,success,1
4958,1222,1619.300049,recharge,Wallet,success,1
4959,1222,659.2999878,investment,UPI,success,1
4960,1222,981.5700073,bill_pay,UPI,success,1
4961,1222,453.8299866,recharge,UPI,success,1
4962,1222,651.5,investment,UPI,success,1
4963,1222,1162.589966,recharge,Card,success,1
4964,1222,434.75,bill_pay,UPI,success,1
1912,459,164.8899994,shopping,Card,success,1
1913,459,1098.810059,recharge,Card,success,1
5141,1251,496.7200012,investment,Card,success,1
5142,1251,339.0700073,investment,Card,success,1
5143,1251,316.7200012,recharge,UPI,success,1
5144,1251,2310.570068,recharge,NetBanking,success,1
5145,1251,255.6600037,shopping,UPI,success,1
5146,1251,1868.150024,bill_pay,UPI,success,1
5147,1251,305.7000122,bill_pay,Card,success,1
5148,1251,516.3200073,shopping,UPI,failed,0
5149,1251,971.6699829,shopping,Card,success,1
5150,1251,2812.469971,shopping,UPI,success,1
5151,1251,2666.590088,investment,UPI,success,1
5152,1251,8448.280273,shopping,Wallet,success,1
5153,1251,2858.76001,bill_pay,UPI,success,1
5154,1251,436.3399963,bill_pay,UPI,success,1
5155,1251,630.7199707,recharge,UPI,success,1
5156,1251,1025.599976,investment,UPI,success,1
5157,1251,155.1999969,bill_pay,UPI,success,1
5158,1251,2436.26001,recharge,UPI,success,1
5159,1251,792.7999878,investment,UPI,success,1
5160,1251,661.6599731,shopping,UPI,success,1
20051,4814,354.6300049,recharge,UPI,success,1
20052,4814,3389.659912,bill_pay,NetBanking,failed,0
20053,4814,2421.340088,shopping,UPI,success,1
20054,4814,667.0300293,recharge,NetBanking,success,1
20055,4814,1038.040039,shopping,Card,success,1
20056,4814,1106.689941,shopping,UPI,failed,0
20057,4814,679.5100098,recharge,UPI,success,1
20058,4814,673.1699829,shopping,Card,success,1
20059,4814,1253.189941,recharge,UPI,success,1
20060,4814,799.6300049,recharge,Card,success,1
20061,4814,554.9000244,recharge,UPI,success,1
20062,4814,489.3800049,bill_pay,UPI,success,1
20063,4814,1330.25,recharge,UPI,success,1
20064,4814,327.9299927,investment,UPI,success,1
20065,4814,750.289978,shopping,Card,failed,0
20066,4814,403.2600098,recharge,NetBanking,success,1
1340,317,1776.300049,recharge,Card,success,1
1341,317,1703.569946,shopping,UPI,success,1
1342,317,777.2399902,recharge,Wallet,success,1
1343,317,2039.380005,bill_pay,Wallet,success,1
1344,317,102.3000031,shopping,Card,success,1
1345,317,378.8500061,recharge,Card,success,1
1346,317,1513.189941,investment,UPI,success,1
1347,317,159.7899933,shopping,Wallet,success,1
1348,317,238.7100067,shopping,UPI,success,1
1349,317,824.8699951,shopping,Card,success,1
1350,317,1333.349976,bill_pay,UPI,success,1
1351,317,1558.079956,shopping,Card,success,1
1352,317,883.9699707,recharge,Card,success,1
1353,317,4422.279785,shopping,UPI,failed,0
1354,317,1048.579956,investment,Card,success,1
1355,317,962.2700195,shopping,UPI,success,1
1356,317,2711.469971,recharge,UPI,success,1
409,131,1387.469971,investment,Card,success,1
410,131,522.1199951,investment,UPI,success,1
411,131,312.8599854,investment,UPI,success,1
412,131,322.730011,bill_pay,Card,failed,0
413,131,20040.49023,recharge,UPI,success,1
414,131,1570.420044,investment,UPI,success,1
415,131,2641.879883,bill_pay,Card,failed,0
17086,4067,1038.26001,investment,UPI,success,1
17087,4067,1717.880005,bill_pay,UPI,success,1
17088,4067,256.7399902,recharge,UPI,success,1
17089,4067,1365.939941,bill_pay,Card,success,1
17090,4067,2621.110107,shopping,Card,success,1
17091,4067,1385.22998,bill_pay,UPI,success,1
17092,4067,202.7899933,recharge,Card,success,1
17093,4067,251.4900055,recharge,NetBanking,success,1
17094,4067,1948.550049,bill_pay,Card,success,1
11874,2851,399.8399963,investment,UPI,success,1
11875,2851,787.3200073,recharge,UPI,success,1
11876,2851,656.25,bill_pay,UPI,success,1
11877,2851,4765.310059,investment,UPI,success,1
11878,2851,1090.170044,bill_pay,UPI,success,1
11879,2851,569.0499878,recharge,Card,success,1
9177,2197,3880.219971,shopping,NetBanking,success,1
9178,2197,259.9599915,recharge,UPI,success,1
9179,2197,5388.890137,recharge,UPI,success,1
9180,2197,1739.209961,investment,UPI,success,1
19131,4547,152.2400055,shopping,Card,success,1
19132,4547,146.7899933,recharge,Card,success,1
16965,4030,151.8600006,shopping,Card,success,1
16966,4030,122.9700012,bill_pay,Card,success,1
16967,4030,1646.01001,shopping,Card,success,1
16968,4030,551.9400024,recharge,Card,success,1
16969,4030,437.2799988,recharge,UPI,success,1
16970,4030,605.5999756,investment,UPI,success,1
16971,4030,303.480011,recharge,UPI,failed,0
13271,3176,723.6699829,investment,Card,success,1
13272,3176,1314.01001,recharge,NetBanking,success,1
13273,3176,187.4199982,shopping,UPI,success,1
13274,3176,1599.040039,bill_pay,UPI,success,1
13275,3176,1388.01001,recharge,Wallet,success,1
13276,3176,3581.179932,recharge,NetBanking,success,1
13277,3176,1356.829956,shopping,UPI,failed,0
13278,3176,256.3900146,bill_pay,Card,success,1
13279,3176,228.7799988,shopping,Card,failed,0
13280,3176,882.460022,bill_pay,UPI,success,1
13281,3176,4117.589844,recharge,UPI,success,1
13282,3176,4315.790039,shopping,UPI,success,1
13283,3176,2081.060059,bill_pay,Card,success,1
13284,3176,291.1400146,bill_pay,Card,success,1
13285,3176,3977.610107,shopping,UPI,success,1
13286,3176,7609.629883,investment,UPI,success,1
13287,3176,926.9899902,bill_pay,UPI,failed,0
7570,1811,228.0299988,investment,UPI,success,1
7571,1811,2741.23999,investment,Card,success,1
7572,1811,1255.859985,investment,UPI,success,1
7573,1811,588.6099854,recharge,UPI,success,1
7574,1811,234.8999939,recharge,UPI,success,1
7575,1811,728.6099854,bill_pay,UPI,success,1
1298,310,1633.680054,shopping,UPI,success,1
1299,310,3390.800049,recharge,Card,failed,0
1300,310,1101.689941,shopping,Card,success,1
1301,310,1115.920044,shopping,Card,success,1
1302,310,158.8200073,shopping,Card,success,1
1303,310,2470.780029,shopping,Card,success,1
1304,310,1588.459961,shopping,UPI,success,1
1305,310,2464.330078,bill_pay,Card,success,1
1306,310,2227.23999,bill_pay,Card,failed,0
1307,310,2227.110107,recharge,UPI,success,1
11534,2779,233.8800049,bill_pay,UPI,success,1
11535,2779,3688.669922,recharge,UPI,success,1
11536,2779,4699.080078,bill_pay,Card,success,1
11537,2779,2412.209961,recharge,UPI,success,1
11538,2779,773.8599854,investment,UPI,success,1
11539,2779,438.6799927,bill_pay,UPI,failed,0
11540,2779,4022.889893,recharge,UPI,success,1
15229,3669,1228.73999,bill_pay,Card,success,1
15230,3669,1725.959961,shopping,UPI,failed,0
15231,3669,1379.640015,recharge,UPI,success,1
15232,3669,1591.329956,recharge,UPI,success,1
15233,3669,181.4400024,bill_pay,UPI,success,1
15234,3669,273.7900085,shopping,Card,success,1
15235,3669,824.5300293,shopping,UPI,success,1
15236,3669,406.9899902,recharge,UPI,success,1
15237,3669,2239.189941,recharge,Wallet,success,1
15238,3669,1441.180054,recharge,UPI,failed,0
15239,3669,2258.149902,recharge,Card,success,1
15240,3669,1257.209961,recharge,UPI,success,1
9248,2226,326.75,recharge,UPI,success,1
9249,2226,4744.850098,recharge,UPI,success,1
9250,2226,526.9099731,recharge,Card,success,1
9251,2226,1450.640015,shopping,Card,success,1
9252,2226,3865.050049,investment,NetBanking,success,1
9253,2226,2700.780029,recharge,UPI,success,1
9254,2226,244.9600067,bill_pay,NetBanking,success,1
9255,2226,1746.030029,bill_pay,Card,success,1
9256,2226,249.5399933,shopping,UPI,success,1
9257,2226,2502.409912,shopping,UPI,success,1
9258,2226,5437.240234,bill_pay,UPI,success,1
9259,2226,1078.170044,investment,Card,success,1
9260,2226,2169.030029,bill_pay,UPI,success,1
9261,2226,1725.079956,investment,UPI,success,1
9262,2226,847.8699951,recharge,UPI,success,1
9263,2226,1005.72998,bill_pay,Card,success,1
9264,2226,1018.580017,recharge,Card,success,1
9265,2226,8297.860352,shopping,Card,success,1
12605,3025,128.1100006,investment,UPI,success,1
12606,3025,1593.51001,shopping,Card,success,1
12607,3025,166.0399933,recharge,UPI,success,1
12608,3025,2344.530029,recharge,Card,success,1
12609,3025,1454.380005,recharge,Wallet,success,1
12610,3025,809.2700195,recharge,UPI,success,1
12611,3025,4186.310059,recharge,Wallet,success,1
12612,3025,615.75,investment,UPI,success,1
12613,3025,3242.02002,recharge,UPI,success,1
