user_id,signup_date,device_type,acquisition_channel,region,is_kyc_completed,referral_source,signup_month,days_since_signup,device_web_flag
1,01-09-2024,iOS,Social,East,FALSE,Unknown,2024-09,314,0
2,03-06-2024,Android,Paid,North,TRUE,Unknown,2024-06,404,0
3,18-02-2025,Web,Organic,North,FALSE,Unknown,2025-02,144,1
4,05-11-2024,Android,Social,South,FALSE,Unknown,2024-11,249,0
5,31-10-2024,Android,Social,South,TRUE,Unknown,2024-10,254,0
6,04-12-2024,iOS,Social,East,FALSE,Unknown,2024-12,220,0
7,04-10-2024,iOS,Organic,West,TRUE,Unknown,2024-10,281,0
8,01-01-2025,iOS,Social,North,TRUE,Unknown,2025-01,192,0
9,21-04-2024,Android,Social,West,TRUE,Unknown,2024-04,447,0
10,02-09-2024,Android,Organic,East,FALSE,Unknown,2024-09,313,0
11,25-05-2025,iOS,Organic,North,TRUE,Unknown,2025-05,48,0
12,03-09-2024,Android,Organic,East,FALSE,Unknown,2024-09,312,0
13,19-04-2025,Android,Social,South,TRUE,Unknown,2025-04,84,0
14,27-02-2024,Android,Paid,East,FALSE,Unknown,2024-02,501,0
15,10-06-2024,Android,Organic,South,FALSE,Unknown,2024-06,397,0
16,02-08-2024,iOS,Organic,West,TRUE,Unknown,2024-08,344,0
17,22-02-2024,Android,Organic,North,FALSE,Unknown,2024-02,506,0
18,03-04-2025,Web,Referral,North,TRUE,PromoCode,2025-04,100,1
19,08-02-2024,Android,Paid,West,FALSE,Unknown,2024-02,520,0
20,09-05-2025,iOS,Social,South,TRUE,Unknown,2025-05,64,0
21,24-01-2025,Android,Referral,North,TRUE,PromoCode,2025-01,169,0
22,06-02-2025,Android,Referral,East,TRUE,Influencer,2025-02,156,0
23,01-01-2025,Android,Organic,South,TRUE,Unknown,2025-01,192,0
24,23-04-2024,Android,Organic,North,TRUE,Unknown,2024-04,445,0
25,29-03-2025,Android,Paid,East,TRUE,Unknown,2025-03,105,0
26,17-12-2024,Web,Organic,East,FALSE,Unknown,2024-12,207,1
27,15-05-2025,iOS,Organic,North,TRUE,Unknown,2025-05,58,0
28,04-01-2025,Android,Social,West,FALSE,Unknown,2025-01,189,0
29,11-05-2025,Android,Paid,West,FALSE,Unknown,2025-05,62,0
30,30-03-2025,Android,Organic,North,FALSE,Unknown,2025-03,104,0
31,03-05-2024,Android,Organic,East,TRUE,Unknown,2024-05,435,0
32,04-04-2025,iOS,Organic,West,TRUE,Unknown,2025-04,99,0
